ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
110032,Eyal Shtigman,M,21,175,74,Israel,ISR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,NA
110032,Eyal Shtigman,M,21,175,74,Israel,ISR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,NA
110234,"Jonathan Scott ""Jon"" Sieben",M,17,176,74,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,Gold
110234,"Jonathan Scott ""Jon"" Sieben",M,17,176,74,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
110368,rni Sigursson,M,19,178,72,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,NA
110368,rni Sigursson,M,19,178,72,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,NA
110391,Maarit Hannele Sihvonen (Vhsaari-),F,23,170,56,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,NA
110391,Maarit Hannele Sihvonen (Vhsaari-),F,23,170,56,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,NA
110391,Maarit Hannele Sihvonen (Vhsaari-),F,23,170,56,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Individual Medley,NA
110553,Rosa Mara Silva Berrutti,F,15,162,57,Uruguay,URU,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,NA
110553,Rosa Mara Silva Berrutti,F,15,162,57,Uruguay,URU,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,NA
111999,Karen Slowing-Aceituno,F,15,164,55,Guatemala,GUA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,NA
111999,Karen Slowing-Aceituno,F,15,164,55,Guatemala,GUA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Freestyle,NA
111999,Karen Slowing-Aceituno,F,15,164,55,Guatemala,GUA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,NA
111999,Karen Slowing-Aceituno,F,15,164,55,Guatemala,GUA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 800 metres Freestyle,NA
111999,Karen Slowing-Aceituno,F,15,164,55,Guatemala,GUA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,NA
112714,Per Michael Sderlund,M,22,181,75,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
112714,Per Michael Sderlund,M,22,181,75,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
112714,Per Michael Sderlund,M,22,181,75,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,NA
112714,Per Michael Sderlund,M,22,181,75,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
113223,Warren Sorby,M,18,187,84,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
113223,Warren Sorby,M,18,187,84,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,NA
113223,Warren Sorby,M,18,187,84,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,NA
113223,Warren Sorby,M,18,187,84,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,NA
114120,David Stacey,M,19,192,76,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
114123,"Thomas ""Tom"" Stachewicz",M,18,184,79,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
114353,Gaynor Clare Stanley (-Wills),F,18,183,75,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,NA
114353,Gaynor Clare Stanley (-Wills),F,18,183,75,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Individual Medley,NA
114353,Gaynor Clare Stanley (-Wills),F,18,183,75,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Individual Medley,NA
114853,"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",F,16,167,57,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Gold
114853,"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",F,16,167,57,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
114853,"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",F,16,167,57,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
115021,"Gillian ""Jill"" Sterkel",F,23,180,77,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
115275,Kristofer Leo Stivenson,M,19,180,72,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,NA
115275,Kristofer Leo Stivenson,M,19,180,72,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,NA
115275,Kristofer Leo Stivenson,M,19,180,72,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,NA
115275,Kristofer Leo Stivenson,M,19,180,72,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,NA
115323,Brett Peter Stocks,M,21,182,72,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,NA
115327,"Marcus William ""Mark"" Stockwell",M,21,196,88,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,Silver
115327,"Marcus William ""Mark"" Stockwell",M,21,196,88,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
115327,"Marcus William ""Mark"" Stockwell",M,21,196,88,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,NA
115327,"Marcus William ""Mark"" Stockwell",M,21,196,88,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
116428,Satoshi Sumida,M,21,177,65,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
116428,Satoshi Sumida,M,21,177,65,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
116594,Nozomi Sunouchi,F,19,164,56,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,NA
116594,Nozomi Sunouchi,F,19,164,56,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,NA
116801,Daichi Suzuki,M,17,180,68,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,NA
116801,Daichi Suzuki,M,17,180,68,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,NA
116801,Daichi Suzuki,M,17,180,68,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
117553,Peter Szmidt,M,22,185,81,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,NA
117553,Peter Szmidt,M,22,185,81,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,NA
117553,Peter Szmidt,M,22,185,81,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
117789,Carlotta Tagnin,F,19,175,64,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,NA
117922,Kiyomi Takahashi,F,18,157,52,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,NA
117922,Kiyomi Takahashi,F,18,157,52,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,NA
117936,Shigehiro Takahashi,M,23,181,73,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,NA
